name,calories,portion,unite
Delical crème vanille 200g,150,100,gramme
Délical hp/hc nature,150,100,ml
Delicatesse vinaigrette yogorette fines herbes,367,100,gramme
Delice de poire williams,71,100,gramme
Délice de st agaune ,197,100,gramme
Délice de st agaûne saucisse sèche,273.4,100,gramme
Délice gourmand chocolat & menthe (délisse-marque repère),170,100,gramme
Delices de legumes,83,100,gramme
Délices de pruneaux taillefine,370,100,gramme
Delices soufflés nature d'ecochard,210,100,gramme
Délichoc original lait,483,100,gramme
Délichoc original noir fondant,493,100,gramme
Delicious whey protein 100% pure,406,100,gramme
Déliform chocolat 300g (auchan),406,100,gramme
Deliform chocolat 6 barres auchan,382,100,gramme
Déliform nature,380,100,gramme
Delimousse au chocolat,460,100,gramme
Delisse actifidus 0% aux fruits (marque repere),35,100,gramme
Délisse délissim fromage blanc fruits rouge,85,100,gramme
Delisse deli'light au fruit pruneaux (marque repere),50,100,gramme
Deliss'bio framboise (class'croute),87,100,gramme
Déliup' au l casei & rhamnous ( delisse marque repere) leclerc,70,100,ml
Demi baguette précuite carrefour,248,100,gramme
Demi baguette précuite casino,242,100,gramme
Demi-lune,200,1,unité
Dès de blanc de poulet monoprix,104,100,gramme
Des de chevre ail et fines herbes soignon,331,100,gramme
Dès de chèvre soignon ail et fines herbes,331,100,gramme
Des de chevre tomates et basilic,339,100,gramme
Dés de chévres nature soignon,332,100,gramme
Dès de fromage ail et fines herbes (salade),356,100,gramme
Dès de fromage aux noix pour salade (monoprix),269,100,gramme
Dès de fromage pour salade ail et fines herbes (monoprix),248,100,gramme
Des de jambon (casino),106,100,gramme
Dès de jambon pour cuisine tradilège (leclerc),114,100,gramme
Dés de jambon repère,111.6,100,gramme
Dés de lardon fumés - herta,250,100,gramme
Dés de lardons fumés (herta),250,100,gramme
Dés de poulet (carrefour),100,100,gramme
Dès de poulet (casino),104,100,gramme
Des de poulet carrefour,100,100,gramme
Dés de quorn,103,100,gramme
Dès de volaille tradilège (marque repère),87,100,gramme
Dès duo de fromage de hollande (edam et mimolette) monoprix,316,100,gramme
Dés d'épaule,114,100,gramme
Dès d'épaule de jambon blanc fleury michon,114,100,gramme
Dès d'épaule fleury michon,480,100,gramme
Dessert  italien cappuccino,251,100,gramme
Dessert de fruits avec morceaux 'champion' pommes-framboises,85,100,gramme
Dessert de fruits compote pomme figues et noix,157,100,gramme
Dessert de fruits pommes poires carrefour discount,83,100,gramme
Dessert fruitier pomme abricot andros,84,100,gramme
Dessert fruitier pomme-cassis andros,86,100,gramme
Dessert fruitier pomme-châtaigne andros,137,100,gramme
Dessert fruitier pomme-fraise andros,86,100,gramme
Dessert fruitier pomme-poire andros,85,100,gramme
Dessert lacté 0% aux pruneaux elle&vire (yaourt),56,1,pot
Dessert lacté 'croquant et fondant' au caramel la laitière : par pot de 90 g,176,100,gramme
Dessert pomme nature andros,94,100,gramme
Dessert pomme-fraise leader price,86,100,gramme
Dessert speculoos alpro soja,86,100,gramme
Dessert végétal lait de coco (danival),182,1,pot
Dessert végétal noisette (danival),92,1,pot
Dextrose,380,100,gramme
Dextrose (myprotein),375,100,gramme
Dextrose (nutrimuscle),364,100,gramme
Dhol puri,300,100,gramme
Diat joghurt de desira,63,100,gramme
Dinde,152,100,gramme
Dinde (cuisse avec peau),171,100,gramme
Dinde (cuisse sans peau),108,100,gramme
Dinde (filet),124,100,gramme
Dinde blanc de dinde herta,110,100,gramme
Dinde cuisse avec la peau,155,100,gramme
Dinde cuisse sans la peau,108,100,gramme
Dinde escalope,114,100,gramme
Dinde farcie aux marrons picard,176,100,gramme
Dinde fermiere et 5 legumes printaniers,216,1,unité
Dinde rôti,260,100,gramme
Dinde rôti de dindonneau,260,100,gramme
Diner surgelé michelinas lasagne en sauce à la viande et fromages,300,1,portion
Dinosorus,499,100,gramme
Dinososrus,499,100,gramme
Dolique,350,100,gramme
Doo wap de harry's pépites chocolat,356,100,gramme
Doowap,341,100,gramme
Dorade,91,100,gramme
Dos de colin (findus),90,100,gramme
"Dos de colin d'alaska au citron, risotto verde picard",303,1,unité
Dos d'eglefin (picard),77,100,gramme
Dosette tassimo chocolat suchad,56,1,pot
Double concentré de tomate (auchan),82,100,gramme
Double concentré de tomates auchan,77,100,gramme
Double délice findus colin lieu tomate,160,100,gramme
Double galette de riz fourrée noisette cacao auchan,455,100,gramme
Douceur de potiron liebig,37,100,ml
Douceur du verger confiture framboise les allégées en sucre,170,100,gramme
Dragée,28,1,unité
Dragibus haribo,380,100,gramme
Drink avena,47,100,gramme
Drumstick caramel,330,1,portion
Drumstick vanille,310,1,portion
Duetto chocolat nouvelle formule weight watchers,117,100,gramme
Duetto chocolat weight watcher,99,1,pot
Duetto chocolat weight watchers,125,100,gramme
Duetto coco-chocolat weight watchers : par pot,101,100,gramme
Duetto frais saveur vanille weight watchers,70,100,gramme
Duetto liegeois chocolat,108,1,pot
Duetto liégeois chocolat - weight watchers,120,100,gramme
Duetto liégeois saveur café par pot,100,100,gramme
Duetto moka-chocolat weight watchers : par pot,101,100,gramme
Dulse crue (algue),35,100,gramme
Duo cereales quinoa et boulgour,369,100,gramme
Duo de blé cereal bio express,163,100,gramme
Duo de choux cuisinés,36,100,gramme
Duo de courgettes,20,100,gramme
Duo de courgettes cuisinées (huile d'olive et basilic) surgelées leader price,45,100,gramme
Duo de crudités et maïs (cora),119,100,gramme
"Duo de fruits de mer, colin et riz carrefour",122,100,gramme
Duo de haricots verts et beurre coupés daucy,19.8,100,gramme
Duo fruits & mousse,64,100,gramme
Duo moelleux abricot-chocolat,420,100,gramme
Duo olives et tomates,166,100,gramme
Duopro35 praline aptonia,370,100,gramme
Duos gourmands (gâteau chocolat fourrés framboise) brossard : par unité de 20g,80,100,gramme
Duplo de ferrero,148,1,unité
Durian,124,100,gramme
Dymatize elite 12h,390,100,gramme
Dymatize elite mass,450,1,portion
Dymatize mega gainer,432,100,gramme
Ea fit milk&egg 95 saveur chocolat,372,100,gramme
Ea fit protéines milk & egg 95+,371,100,gramme
Ea fit protisoya,392,100,gramme
Ea fit pure whey saveur vanille,400.7,100,gramme
Ea fit _ milk and egg 95+,364,100,gramme
Ea-fit gainer max,366,100,gramme
Eafit anabolic protein lean gainer,373,100,gramme
Eafit croissance musculaire maxi,357,100,gramme
Eafit gainer max,365,100,gramme
Eafit isolat 100% whey,354,100,gramme
Eafit protéine milk et egg 95+,358,100,gramme
Eafit protisoya,397,100,gramme
Eafit tri-protein 80,391,100,gramme
Eas 100% whey,400,100,gramme
Eau,0,100,ml
Eau abatilles,0,100,ml
Eau aquarel nestlé,0,100,ml
Eau arvie,0,100,gramme
Eau biovive,0,100,gramme
Eau de vie,235,100,gramme
Eau hépart,0,100,gramme
Eau quézac,0,100,gramme
Eau saint yorre,0,100,gramme
Eau san pellegrino,0,100,gramme
Eau taillefine,0,100,gramme
Ebly,345,100,gramme
Ebly blé a poeler persillade,333,100,gramme
Ebly blé en salade saveurs de nos campagnes,151,100,gramme
Ebly nature express précuit à la vapeur,149,100,gramme
"Ebly, blé dur précuit",343,100,gramme
Echalote,75,100,gramme
Echantillon des céréal cheerios multi grain,60,1,pot
Echine de boeuf,257,100,gramme
Echine de porc,302,100,gramme
éclair,198,100,gramme
Eclair au chocolat ,225,1,unité
Eclair au chocolat picard,251,100,gramme
Eclair chocolat,262,100,gramme
Eclairs au chocolat surgelés brossard : par unité de 50g,144,100,gramme
Ecrasée de pommes de terre a la forestière - picard,106,100,gramme
Ecrevisse,69,100,gramme
Edam,353,100,gramme
Edam jeune au lait pasteurisé les croisés,320,100,gramme
Edam light,260,100,gramme
Edam tranches le cavalier aldi,311,100,gramme
Edulcorant arome vanille sticks canderel,7,1,unité
Edulcorant auchan,2,1,cuillérée à café
édulcorant de table poudre fine ligne leader price,1.9,1,cuillérée à café
Edulcorant en poudre (leader price),2,1,cuillérée à café
Edulcorant en poudre canderel,380,100,gramme
Edulcorant en poudre canderel (aspartame),1.9,1,cuillérée à café
Edulcorant en poudre dia,340,100,gramme
Edulcorant en poudre leader price,375,100,gramme
Edulcorant hermesetas,289,100,gramme
Edulcorant pure via,0.34,1,unité
Edulcorant sans aspartame comprimé sucandise,0.01,1,unité
Edulcorant splenda en poudre,2,1,cuillérée à café
Edulcorant sweetner (delhaize),398,100,gramme
Edulcorant tutti free blanc,400,100,gramme
Edulcorel repere,390,100,gramme
"Effi vinaigrette ""fines herbes""",230,100,gramme
Effiloché d'agneau légumes griés et semoule joél robuchon fleury michon,144,100,gramme
Egg biscuits gala,418,100,gramme
Egg proteine (nutrimuscle),344,100,gramme
Elbot poisson fumé,165,100,gramme
Elite 12 dymatize,378,100,gramme
Elite fitness protidrink vanille,210,1,canette
Elite whey protein,389,100,gramme
Elle et vire beurre gastronomique portions x 16 (12 g par portion),744,100,gramme
Elle et vire extra leger 10 % mg,114,100,gramme
Elvea cubes de tomates au basilic frais,21,100,gramme
Emental bio (lait plaisirs),377,100,gramme
Emincé de dinde (lidl),110,100,gramme
Emincé de dinde et jardinière de légumes fine ligne,72,100,gramme
émincé de poulet,125,100,gramme
émincé de poulet aux coquillettes gratinées weightwatchers,92,100,gramme
Emincé de poulet grillé ( fleury michon ),183,100,gramme
Emincé de poulet roti casino,77,1,portion
Emincé de veau et ses petits légumes ( aldi ),94,100,gramme
"Emincé de vilaille à la tomate et au basilic ""fine ligne""",99,100,gramme
Emince de volaille et riz basmati le gaulois,103,100,gramme
Emincé de volaille tomate-basilic et semoule 'fine ligne' leader price : par portion de 300g,297,1,portion
émincées de dinde façon kebab surgelé (leclerc marque repère),140,100,gramme
Emincés de dinde cuits et surgelés saveur kebab marque repère leclerc,140,100,gramme
Emincés de dinde marinés à la moutarde (père dodu),131,100,gramme
Emincés de dinde marinés mexicaines (père dodu),136,100,gramme
