name,calories,portion,unite
"Barre caramel ""repas minceur"" gerlinéa : pour une barre de 31g",118,100,gramme
Barre cereale kellog's speciaal k Special k,79,40,gramme
Barre cereale kellog's speciial k Kellogg's,79,20,gramme
Barre céréale noix de coco et chocolat au lait Carrefour,112,1,paquet
Barre céréales aptonia abricot,75,1,unité
Barre céréales et chocolat taillefine (par barre),79,100,gramme
Barre céréales saveur chocolat Gerlinéa,114,1,unité
Barre cereales soja croquant chocolat bjorg,467,100,gramme
Barre céréalière à la figue Grany,81,1,unité
Barre cerealiere au chocolat et à la noix de coco Grany,92,1,unité
Barre céréalière aux abricots Grany,83,1,unité
Barre chocapic nestlé : par unité,104,100,gramme
Barre chocolat canderel: lait - crispy amandes,464,100,gramme
Barre chocolat noir-orange canderel unité de 27 g,106,100,gramme
Barre chocolat raisin-amandes canderel : par unité de 27 g,121,100,gramme
Barre coupe-faim + aloë vera de weight care,379,100,gramme
Barre coupe-faim + aloë vera de weight care (par barre de 23g),87,100,gramme
Barre de céréal spécial  k Kellogg's,79,1,unité
Barre de céréales ananas swing aldi (unité de 21 g),83,100,gramme
Barre de céréales chocolat bien vivre monoprix,426,100,gramme
Barre de céréales chocolat noir et cacahuètes eco (unité de 21g),95,100,gramme
Barre de cereales croc'chocolat Netto,421,100,gramme
Barre de céréales et fruits rouges (taillefine),380,100,gramme
"Barre de céréales Fitness ""Framboise et Chocolat""",375,100,gramme
Barre de céréales forme & abricot Réva,75,1,unité
Barre de céréales forme & pomme réva : par barre de 21g,78,100,gramme
Barre de céréales forme et fruits rouges réva intermarché : par unité,80,100,gramme
Barre de céréales frosties kellogg's : par unité de 25g,104,100,gramme
Barre de céréales fruits rouges taillefine (unité:21g),80,100,gramme
Barre de céréales pomme abricot swing aldi (unité de 21g),81,100,gramme
Barre de céréales spécial k poire-chocolat kellogg's : par unité,81,100,gramme
Barre de chocolat noir-orange canderel (barre de 27 g),392,100,gramme
Barre de l'effort figue Gerblé,353,100,gramme
Barre de régime hyperprotéinée gerlinéa : par unité,122,100,gramme
Barre ferrero duplo : par portion de 26g,148,100,gramme
Barre Figues-Pruneaux AUCHAN pour 1barre de 20.8Grs,78.2,100,gramme
Barre fitness blé complet & chocolat,382,100,gramme
"Barre fitness nestlé abricot (23,5 gr l'unité)",87,100,gramme
Barre Fruits secs AptoniA (Décathlon),337,100,gramme
Barre glacée bounty,73,1,unité
Barre glacée twix,196,1,unité
Barre golden grahams (25g),104,100,gramme
Barre gout yahourt fraise des bois karelia,308,100,gramme
Barre grany aux 3 céréales riz soufflé et chocolat,445,100,gramme
Barre grany aux 5 céréales et au chocolat : par unité,93,100,gramme
Barre grany aux 5 céréales et aux noisettes : par unité,99,100,gramme
Barre grany aux céréales et aux figues : par unité de 21g,81,100,gramme
Barre grany aux cinq céréales et banane : par unité,88,100,gramme
Barre grany fraises framboises : par unité,72,100,gramme
"Barre grany maniac aux 4 céréales enrobée de chocolat : par barre de 26,5 g",121,100,gramme
Barre grany maniac aux quatre céréales enrobées de chocolat au lait : par unité,115,100,gramme
Barre grany quatre céréales et abricot : par unité de 21g,83,100,gramme
Barre grany quatre céréales et pomme : par barre de 21 g,89,100,gramme
Barre k poire & chocolat (1 barre - 21g),81,100,gramme
Barre marbrée cacao ( ker cadelac),87,100,gramme
Barre marbrée cacao ker cadelac,439,100,gramme
Barre marbrée cacao ker cadelac : par tranche de 20g,87,100,gramme
Barre mémoire orange-chocolat gerblé : par unité de 20g,85,100,gramme
Barre minceur Milical,87,1,unité
Barre mousse nougat à la fraise enrobée de chocola Weight watchers,391,100,gramme
Barre mousse nougat à la fraise enrobée de chocola Weight watchers,78,1,portion
Barre pâtissière (Prix gagnant),354,100,gramme
Barre pâtissière ker cadelac,439,100,gramme
Barre pâtissière ker cadelac : par tranche de 25g,109,100,gramme
"Barre pâtissière, p'tit déli Leclerc marque repère",437,100,gramme
Barre prince chocolat : par unité,93,100,gramme
Barre repas forme & minceur (dia),382,100,gramme
Barre saveur vanille proslim,122,1,unité
Barre spécial k kellogg's délissima chocolat-orange : par barre de 22g,88,100,gramme
Barre spécial k kellogg's délissima framboise-chocolat : par barre de 22g,88,100,gramme
Barre taillefine céréales & chocolat (1 barre - 21g),79,100,gramme
Barre tendre (chewy),110,1,unité
Barre-céréale delissima cerise/chocolat Kellogg's,88,1,dosette
"Barre-céréales 5 céréales et noisettes ""Grany de Lu""",450,100,gramme
"Barre-céréales 5 céréales et noisettes ""Grany de Lu"", 1 barre 20,8g",93,100,gramme
Barre-céréales ananas farham Netto,305,100,gramme
Barre-céréales ananas farham Netto,83,1,portion
Barre-céréales aux pépites de fraise & canneberges,383,100,gramme
Barre-céréales aux pépites de fraise & canneberges Grany,80,1,portion
"Barre-céréales banane caramel ""weight watchers""",379,100,gramme
"Barre-céréales banane caramel ""weight watchers"", par barre de 18g",68,100,gramme
"Barre-céréales chocolat & cérales + magnésium ""taillefine""",375,100,gramme
"Barre-céréales chocolat & cérales + magnésium ""taillefine"", 1 barre 21 g",79,100,gramme
Barre-céréales chocolat au lait banane - farham,419,100,gramme
"Barre-céréales chocolat au lait banane - farham, 1 barre",80,100,gramme
"Barre-céréales chocolat au lait/banane ""Farham""",419,100,gramme
"Barre-céréales chocolat au lait/banane ""Farham"", une barre 21g",88,100,gramme
"Barre-céréales chocolat noir - 21 g (1,5pts) Netto",87,1,unité
Barre-céréales chocolat noir - farham,413,100,gramme
"Barre-céréales chocolat noir - farham, 1 barre",87,100,gramme
Barre-céréales chocolat-banane Réva,422,100,gramme
Barre-céréales chocolat-banane Réva,88.6,1,unité
Barre-céréales chocolat/banane senso Réva,422,100,gramme
Barre-céréales chocolat/banane senso Réva,88.6,1,unité
"Barre-céréales croustillantes au chocolat ""weight watchers""",369,100,gramme
